num_article,doi
245,https://doi.org/10.1016/j.jpha.2023.06.007
363,https://doi.org/10.1128/msphere.00379-23
97,https://doi.org/10.1146/annurev-micro-060221-012134
71,https://doi.org/10.15698/mic2022.01.768
243,https://doi.org/10.3389/fnins.2023.1268419
101,https://doi.org/10.3390/nu13062099
153,https://doi.org/10.1016/j.biopha.2022.113958
283,https://doi.org/10.1002/ana.26719
102,https://doi.org/10.1016/j.arr.2021.101396
349,https://doi.org/10.3233/JPD-230315
70,https://doi.org/10.3389/fcimb.2021.800432
24,https://doi.org/10.1186/s13059-020-1933-7
38,https://doi.org/10.1016/j.neuro.2019.09.004
154,https://doi.org/10.3389/fncel.2022.1007166
129,https://doi.org/10.1155/2021/1416236
69,https://doi.org/10.1016/j.jare.2021.09.005
296,https://doi.org/10.3389/fcell.2023.1146062
281,https://doi.org/10.1002/brb3.3130
132,https://doi.org/10.1016/j.neures.2021.01.001
156,https://doi.org/10.1016/j.pharmthera.2022.108311
204,https://doi.org/10.1111/apm.13225
91,https://doi.org/10.1016/j.pharmthera.2021.107978
312,https://doi.org/10.3390/ijms24021001
231,https://doi.org/10.1177/15598276211012968
313,https://doi.org/10.2174/1389203724666230104163924
326,https://doi.org/10.1136/gutjnl-2021-326023
282,https://doi.org/10.3389/fnagi.2023.1151850
178,https://doi.org/10.1007/s11011-022-01004-6
258,https://doi.org/10.3390/molecules28186501
185,https://doi.org/10.1002/mds.29128
331,https://doi.org/10.1016/j.exger.2024.112444
